[INFO ]20151112@09:16:22,120:root - Thu Nov 12 09:16:22 PST 2015 : Starting Execution
[DEBUG]20151112@09:16:22,129:root - Thu Nov 12 09:16:22 PST 2015 : Project ID set to 1
[DEBUG]20151112@09:16:22,129:root - Thu Nov 12 09:16:22 PST 2015 : Project ID Name set to Dummy
[DEBUG]20151112@09:16:23,991:root - Thu Nov 12 09:16:23 PST 2015 : Main Window Launched
[DEBUG]20151112@09:16:23,991:root - Thu Nov 12 09:16:23 PST 2015 : Closing EXCEL and IEDriver Server previously opened
[DEBUG]20151112@09:16:23,991:root - Thu Nov 12 09:16:23 PST 2015 : Checking for PrintStackTrace property
[DEBUG]20151112@09:16:23,991:root - Thu Nov 12 09:16:23 PST 2015 : Checking for Selenium Implicit Timeout property
[ERROR]20151112@09:16:23,991:root - Thu Nov 12 09:16:23 PST 2015 : Integer.java:java.lang.Integer:parseInt:542
[ERROR]20151112@09:16:23,991:root - Thu Nov 12 09:16:23 PST 2015 : Integer.java:java.lang.Integer:parseInt:615
[ERROR]20151112@09:16:23,992:root - Thu Nov 12 09:16:23 PST 2015 : Main.java:main.Main:main:59
[DEBUG]20151112@09:16:23,992:root - Thu Nov 12 09:16:23 PST 2015 : Selenium Implicit Timeout defaulted to 1
[ERROR]20151112@09:16:23,992:root - Thu Nov 12 09:16:23 PST 2015 : Main.java:main.Main:main:69
[DEBUG]20151112@09:16:28,978:root - Thu Nov 12 09:16:28 PST 2015 : Initialize App Properties
[DEBUG]20151112@09:16:28,978:root - Thu Nov 12 09:16:28 PST 2015 : Setup Archive Mechanism
[DEBUG]20151112@09:16:28,979:root - Thu Nov 12 09:16:28 PST 2015 : Create Directory Project
[DEBUG]20151112@09:16:28,983:root - Thu Nov 12 09:16:28 PST 2015 : Create Directory TestSuiteID
[DEBUG]20151112@09:16:28,983:root - Thu Nov 12 09:16:28 PST 2015 : Create CurrentTimeStamp
[DEBUG]20151112@09:16:28,985:root - Thu Nov 12 09:16:28 PST 2015 : Setup CurrentTestSuiteTimeStampFolder in BIRT_DataObject
[DEBUG]20151112@09:16:28,986:root - Thu Nov 12 09:16:28 PST 2015 : Run Each of the TestCase
[DEBUG]20151112@09:16:28,986:root - Thu Nov 12 09:16:28 PST 2015 : Check whether TestCase exists
[DEBUG]20151112@09:16:28,987:root - Thu Nov 12 09:16:28 PST 2015 : Get TestCase Data
[DEBUG]20151112@09:16:28,987:root - Thu Nov 12 09:16:28 PST 2015 : Initalize the folder with the TestCaseID and required folders
